reaction_smiles,shown_option_1,shown_option_1_slots,shown_option_2,shown_option_2_slots,user_choice,is_option_1_GT
CC[O:6][P:4](=[O:5])([CH2:7][c:8]1[cH:9][cH:10][c:11]([NH:12][c:13]2[n:14][cH:15][c:16]([C:17]([F:18])([F:19])[F:20])[c:21]([NH:22][c:23]3[cH:24][cH:25][cH:26][c:27]4[c:28]3[C:29](=[O:30])[N:31]([CH3:32])[CH2:33]4)[n:34]2)[c:35]([O:36][CH3:37])[cH:38]1)[O:3][CH2:2][CH3:1]>>[CH3:1][CH2:2][O:3][P:4](=[O:5])([OH:6])[CH2:7][c:8]1[cH:9][cH:10][c:11]([NH:12][c:13]2[n:14][cH:15][c:16]([C:17]([F:18])([F:19])[F:20])[c:21]([NH:22][c:23]3[cH:24][cH:25][cH:26][c:27]4[c:28]3[C:29](=[O:30])[N:31]([CH3:32])[CH2:33]4)[n:34]2)[c:35]([O:36][CH3:37])[cH:38]1,Cl,Solvent,"ClCCl, C[Si](C)(C)Br","Solvent, Reagent",Option 2,True
CC[O:28][P:25]([CH3:26])(=[O:27])[CH:2]([CH3:1])[O:3][c:4]1[cH:5][c:6]([O:7][c:8]2[cH:9][cH:10][c:11]([C:12]([F:13])([F:14])[F:15])[cH:16][c:17]2[Cl:18])[cH:19][cH:20][c:21]1[N+:22](=[O:23])[O-:24]>>[CH3:1][CH:2]([O:3][c:4]1[cH:5][c:6]([O:7][c:8]2[cH:9][cH:10][c:11]([C:12]([F:13])([F:14])[F:15])[cH:16][c:17]2[Cl:18])[cH:19][cH:20][c:21]1[N+:22](=[O:23])[O-:24])[P:25]([CH3:26])(=[O:27])[OH:28],"CCO, O, [K+].[OH-]","Solvent, Solvent, Reagent","ClCCl, C[Si](C)(C)Br","Solvent, Reagent",Option 2,True
CC[O:4][P:2]([CH3:1])(=[O:3])[c:5]1[cH:6][c:7]([O:8][c:9]2[cH:10][cH:11][c:12]([C:13]([F:14])([F:15])[F:16])[cH:17][c:18]2[Cl:19])[cH:20][cH:21][c:22]1[N+:23](=[O:24])[O-:25]>>[CH3:1][P:2](=[O:3])([OH:4])[c:5]1[cH:6][c:7]([O:8][c:9]2[cH:10][cH:11][c:12]([C:13]([F:14])([F:15])[F:16])[cH:17][c:18]2[Cl:19])[cH:20][cH:21][c:22]1[N+:23](=[O:24])[O-:25],"ClCCl, C[Si](C)(C)Br","Solvent, Reagent","Cl, O","Solvent, Reagent",Option 1,False
CC[O:4][P:2]([CH3:1])(=[O:3])[c:5]1[cH:6][cH:7][c:8]([C@H:9]([NH:10][C:11](=[O:12])[c:13]2[cH:14][n:15][c:16](-[n:17]3[cH:18][c:19]([F:20])[cH:21][n:22]3)[n:23][c:24]2[OH:25])[c:26]2[cH:27][cH:28][c:29]([F:30])[cH:31][cH:32]2)[cH:33][cH:34]1>>[CH3:1][P:2](=[O:3])([OH:4])[c:5]1[cH:6][cH:7][c:8]([C@H:9]([NH:10][C:11](=[O:12])[c:13]2[cH:14][n:15][c:16](-[n:17]3[cH:18][c:19]([F:20])[cH:21][n:22]3)[n:23][c:24]2[OH:25])[c:26]2[cH:27][cH:28][c:29]([F:30])[cH:31][cH:32]2)[cH:33][cH:34]1,"C1COCCO1, [Na+].[OH-]","Solvent, Reagent","ClCCl, C[Si](C)(C)Br","Solvent, Reagent",Option 2,True
CC[O:6][P:4](=[O:5])([CH2:7][c:8]1[cH:9][cH:10][c:11]([NH:12][C:13](=[O:14])[CH2:15][CH2:16][c:17]2[cH:18][n:19][o:20][c:21]2-[c:22]2[cH:23][cH:24][cH:25][cH:26][cH:27]2)[cH:28][cH:29]1)[O:3][CH2:2][CH3:1]>>[CH3:1][CH2:2][O:3][P:4](=[O:5])([OH:6])[CH2:7][c:8]1[cH:9][cH:10][c:11]([NH:12][C:13](=[O:14])[CH2:15][CH2:16][c:17]2[cH:18][n:19][o:20][c:21]2-[c:22]2[cH:23][cH:24][cH:25][cH:26][cH:27]2)[cH:28][cH:29]1,"CC#N, C[Si](C)(C)Br","Solvent, Reagent","ClCCl, C[Si](C)(C)Br","Solvent, Reagent",Bad,True
[CH3:1][CH2:2][CH2:3][P:4](=[O:5])([O:6]CC)[c:7]1[cH:8][cH:9][c:10]([CH:11]([NH:12][C:13](=[O:14])[c:15]2[cH:16][n:17][c:18](-[n:19]3[cH:20][cH:21][cH:22][n:23]3)[n:24][c:25]2[OH:26])[c:27]2[cH:28][cH:29][cH:30][cH:31][cH:32]2)[cH:33][cH:34]1>>[CH3:1][CH2:2][CH2:3][P:4](=[O:5])([OH:6])[c:7]1[cH:8][cH:9][c:10]([CH:11]([NH:12][C:13](=[O:14])[c:15]2[cH:16][n:17][c:18](-[n:19]3[cH:20][cH:21][cH:22][n:23]3)[n:24][c:25]2[OH:26])[c:27]2[cH:28][cH:29][cH:30][cH:31][cH:32]2)[cH:33][cH:34]1,"ClCCl, C[Si](C)(C)Br","Solvent, Reagent","C1COCCO1, [Na+].[OH-]","Solvent, Reagent",Option 1,False
CCCC[O:5][P:3](=[O:4])([CH2:2][CH3:1])[CH2:6][CH:7]([CH3:8])[CH2:9][OH:10]>>[CH3:1][CH2:2][P:3](=[O:4])([OH:5])[CH2:6][CH:7]([CH3:8])[CH2:9][OH:10],"CCCCO, O","Solvent, Solvent",Cl,Reagent,Bad,True
CCCC[O:5][P:3](=[O:4])([CH2:2][CH3:1])[CH2:6][CH2:7][CH2:8][NH2:9]>>[CH3:1][CH2:2][P:3](=[O:4])([OH:5])[CH2:6][CH2:7][CH2:8][NH2:9],Cl,Reagent,"CCCCO, O","Solvent, Solvent",Option 1,False
[CH3:11][CH2:10]I.[CH3:1][CH2:2][O:3][P:4](=[O:5])([O:6][CH2:7][CH3:8])[CH:9]([O:12][c:13]1[cH:14][cH:15][cH:16][cH:17][cH:18]1)[P:19](=[O:20])([O:21][CH2:22][CH3:23])[O:24][CH2:25][CH3:26]>>[CH3:1][CH2:2][O:3][P:4](=[O:5])([O:6][CH2:7][CH3:8])[C:9]([CH2:10][CH3:11])([O:12][c:13]1[cH:14][cH:15][cH:16][cH:17][cH:18]1)[P:19](=[O:20])([O:21][CH2:22][CH3:23])[O:24][CH2:25][CH3:26],"CCOC(C)=O, CN(C)C=O, [H-].[Na+]","Solvent, Solvent, Reagent",,,Option 1,True
CCN(CC)S(F)(F)[F:9].[CH3:1][CH2:2][O:3][P:4]([O:5][CH2:6][CH3:7])[CH:8](O)[c:10]1[cH:11][cH:12][cH:13][c:14]([Br:15])[cH:16]1>>[CH3:1][CH2:2][O:3][P:4]([O:5][CH2:6][CH3:7])[CH:8]([F:9])[c:10]1[cH:11][cH:12][cH:13][c:14]([Br:15])[cH:16]1,"O, ClCCl","Solvent, Reagent",ClCCl,Solvent,Tie,True
Br[CH2:7][CH2:8][O:9][CH:10]1[CH2:11][CH2:12][CH2:13][CH2:14][O:15]1.[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH2:6][P:16](=[O:17])([O:18][CH2:19][CH3:20])[O:21][CH2:22][CH3:23]>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH:6]([CH2:7][CH2:8][O:9][CH:10]1[CH2:11][CH2:12][CH2:13][CH2:14][O:15]1)[P:16](=[O:17])([O:18][CH2:19][CH3:20])[O:21][CH2:22][CH3:23],"C1CCOC1, [H-].[Na+]","Solvent, Reagent","CN(C)C=O, O","Solvent, Reagent",Option 1,False
Br[CH2:8][CH2:9][c:10]1[cH:11][cH:12][cH:13][cH:14][cH:15]1.[CH3:1][O:2][P:3](=[O:4])([CH2:7][C:16](=[O:17])[O:18][C:19]([CH3:20])([CH3:21])[CH3:22])[O:5][CH3:6]>>[CH3:1][O:2][P:3](=[O:4])([O:5][CH3:6])[CH:7]([CH2:8][CH2:9][c:10]1[cH:11][cH:12][cH:13][cH:14][cH:15]1)[C:16](=[O:17])[O:18][C:19]([CH3:20])([CH3:21])[CH3:22],"CN(C)C=O, CC(C)(C)[O-].[K+]","Solvent, Reagent","C1CCOC1, [H-].[Na+]","Solvent, Reagent",Tie,True
Br[CH2:7][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1.[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH2:6][P:14](=[O:15])([O:16][CH2:17][CH3:18])[O:19][CH2:20][CH3:21]>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH:6]([CH2:7][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1)[P:14](=[O:15])([O:16][CH2:17][CH3:18])[O:19][CH2:20][CH3:21],"CN(C)C=O, [H-].[Na+]","Solvent, Reagent","CN(C)C=O, [H-].[Na+]","Solvent, Reagent",Tie,True
[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH2:6][P:17](=[O:18])([O:19][CH2:20][CH3:21])[O:22][CH2:23][CH3:24].[O:13]=[N+:12]([O-:14])[c:11]1[cH:10][cH:9][c:8]([CH2:7]Br)[cH:16][cH:15]1>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH:6]([CH2:7][c:8]1[cH:9][cH:10][c:11]([N+:12](=[O:13])[O-:14])[cH:15][cH:16]1)[P:17](=[O:18])([O:19][CH2:20][CH3:21])[O:22][CH2:23][CH3:24],"C1CCOC1, [H-].[Na+]","Solvent, Reagent","CN(C)C=O, [H-].[Na+]","Solvent, Reagent",Tie,True
[CH3:1][CH:2]([CH3:3])[S:4]Cl.[O:13]=[P:12]([NH:5][c:6]1[cH:7][cH:8][cH:9][cH:10][cH:11]1)([c:14]1[cH:15][cH:16][cH:17][cH:18][cH:19]1)[c:20]1[cH:21][cH:22][cH:23][cH:24][cH:25]1>>[CH3:1][CH:2]([CH3:3])[S:4][N:5]([c:6]1[cH:7][cH:8][cH:9][cH:10][cH:11]1)[P:12](=[O:13])([c:14]1[cH:15][cH:16][cH:17][cH:18][cH:19]1)[c:20]1[cH:21][cH:22][cH:23][cH:24][cH:25]1,"ClC(Cl)(Cl)Cl, CCN(CC)CC","Solvent, Reagent",,,Option 1,True
[CH3:1][CH2:2][O:3][P:4](=[S:5])([NH:9][CH:10]([CH3:11])[CH3:12])[O:6][CH2:7][CH3:8].[CH3:15][NH:16][C:17](=[O:18])[O:19][N:20]=[C:21]([S:22][CH3:23])[C:24](=[O:25])[N:26]([CH3:27])[CH3:28]>>[CH3:1][CH2:2][O:3][P:4](=[S:5])([O:6][CH2:7][CH3:8])[N:9]([CH:10]([CH3:11])[CH3:12])[S:13](=[O:14])[CH2:15][NH:16][C:17](=[O:18])[O:19][N:20]=[C:21]([S:22][CH3:23])[C:24](=[O:25])[N:26]([CH3:27])[CH3:28],c1ccncc1,Solvent,"c1ccncc1, O=S(Cl)Cl","Solvent, Reagent",Invalid Reaction,True
[CH3:1][CH2:2][O:3][P:4](=[O:5])([CH2:6][CH:7](Br)[CH2:8][Br:9])[O:10][CH2:11][CH3:12]>>[CH3:1][CH2:2][O:3][P:4](=[O:5])(/[CH:6]=[CH:7]\[CH2:8][Br:9])[O:10][CH2:11][CH3:12],"CC(C)(C)O, CC(C)(C)[O-].[K+]","Solvent, Reagent","C1CCOC1, CCN(CC)CC","Solvent, Reagent",Option 1,True
[CH3:15][C:14](=O)[C:16](=[CH:27][c:28]1[cH:29][cH:30][cH:31][c:32]([N+:33](=[O:34])[O-:35])[cH:36]1)[P:17](=[O:18])([O:19][CH:20]([CH3:21])[CH3:22])[O:23][CH:24]([CH3:25])[CH3:26].[CH3:1][CH2:2][CH2:3][O:4][CH2:5][CH2:6][O:7][C:8](=[O:9])/[CH:10]=[C:11](/[CH3:12])[NH2:13]>>[CH3:1][CH2:2][CH2:3][O:4][CH2:5][CH2:6][O:7][C:8](=[O:9])[C:10]1=[C:11]([CH3:12])[NH:13][C:14]([CH3:15])=[C:16]([P:17](=[O:18])([O:19][CH:20]([CH3:21])[CH3:22])[O:23][CH:24]([CH3:25])[CH3:26])[CH:27]1[c:28]1[cH:29][cH:30][cH:31][c:32]([N+:33](=[O:34])[O-:35])[cH:36]1,CC(C)O,Solvent,CC(C)O,Solvent,Tie,False
O=[CH:4][C@H:5]1[O:6][C@H:7]([CH2:8][O:9][CH2:10][c:11]2[cH:12][cH:13][cH:14][cH:15][cH:16]2)[C@@H:17]([O:18][CH2:19][c:20]2[cH:21][cH:22][cH:23][cH:24][cH:25]2)[C@@H:26]1[O:27][CH2:28][c:29]1[cH:30][cH:31][cH:32][cH:33][cH:34]1.[O:1]=[P:2]([CH:3]=P(c1ccccc1)(c1ccccc1)c1ccccc1)([O:35][c:36]1[cH:37][cH:38][cH:39][cH:40][cH:41]1)[O:42][c:43]1[cH:44][cH:45][cH:46][cH:47][cH:48]1>>[O:1]=[P:2]([CH:3]=[CH:4][C@H:5]1[O:6][C@H:7]([CH2:8][O:9][CH2:10][c:11]2[cH:12][cH:13][cH:14][cH:15][cH:16]2)[C@@H:17]([O:18][CH2:19][c:20]2[cH:21][cH:22][cH:23][cH:24][cH:25]2)[C@@H:26]1[O:27][CH2:28][c:29]1[cH:30][cH:31][cH:32][cH:33][cH:34]1)([O:35][c:36]1[cH:37][cH:38][cH:39][cH:40][cH:41]1)[O:42][c:43]1[cH:44][cH:45][cH:46][cH:47][cH:48]1,ClCCl,Solvent,Cc1ccccc1,Solvent,Tie,False
[CH3:1][CH2:2][O:3][P:4](=[O:5])([CH2:6]CO)[O:15][CH2:16][CH3:17].O=S(=O)([O:7][S:8](=[O:9])(=[O:10])[C:11]([F:12])([F:13])[F:14])C(F)(F)F>>[CH3:1][CH2:2][O:3][P:4](=[O:5])([CH2:6][O:7][S:8](=[O:9])(=[O:10])[C:11]([F:12])([F:13])[F:14])[O:15][CH2:16][CH3:17],"CCOCC, ClCCl, Cc1cccc(C)n1","Solvent, Solvent, Reagent",Cc1cccc(C)n1,Reagent,Option 1,True
CCO[C:6](=[O:7])[C:8]1([F:9])[CH2:10][CH2:11][C:12]([F:13])([F:14])[CH2:15][CH2:16]1.[CH3:1][O:2][P:3]([CH3:5])(=[O:4])[O:17][CH3:18]>>[CH3:1][O:2][P:3](=[O:4])([CH2:5][C:6](=[O:7])[C:8]1([F:9])[CH2:10][CH2:11][C:12]([F:13])([F:14])[CH2:15][CH2:16]1)[O:17][CH3:18],C1CCOC1,Solvent,"C1CCOC1, [CH2]CCC.[Li]","Solvent, Reagent",Option 2,True
CCO[C:6](=[O:7])[CH2:8][O:9][c:10]1[cH:11][cH:12][cH:13][n:14][cH:15]1.[CH3:17][O:16][P:3]([CH3:5])(=[O:4])[O:2][CH3:1]>>[CH3:1][O:2][P:3](=[O:4])([CH2:5][C:6](=[O:7])[CH2:8][O:9][c:10]1[cH:11][cH:12][cH:13][n:14][cH:15]1)[O:16][CH3:17],"C1CCOC1, CCCCCC, Cl","Solvent, Solvent, Reagent","CC(=O)O, [CH2]CCC.[Li], C1CCOC1","Solvent, Reagent, Reagent",Option 2,True
CCO[C:6](=[O:7])[C:8]([CH3:9])([F:10])[F:11].[CH3:1][O:2][P:3]([CH3:5])(=[O:4])[O:12][CH3:13]>>[CH3:1][O:2][P:3](=[O:4])([CH2:5][C:6](=[O:7])[C:8]([CH3:9])([F:10])[F:11])[O:12][CH3:13],C1CCOC1,Solvent,"C1CCOC1, [CH2]CCC.[Li]","Solvent, Reagent",Option 2,True
CO[C:6](=[O:7])[C@H:8]([CH2:9][c:10]1[cH:11][cH:12][cH:13][cH:14][cH:15]1)[NH:16][C:17](=[O:18])[c:19]1[cH:20][cH:21][cH:22][cH:23][cH:24]1.[CH3:1][O:2][P:3]([CH3:5])(=[O:4])[O:25][CH3:26]>>[CH3:1][O:2][P:3](=[O:4])([CH2:5][C:6](=[O:7])[C@H:8]([CH2:9][c:10]1[cH:11][cH:12][cH:13][cH:14][cH:15]1)[NH:16][C:17](=[O:18])[c:19]1[cH:20][cH:21][cH:22][cH:23][cH:24]1)[O:25][CH3:26],"C1CCOC1, CC(=O)O","Solvent, Reagent","C1CCOC1, [CH2]CCC.[Li]","Solvent, Reagent",Option 2,True
[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][C:6](=[O:7])OC.[CH3:12][O:11][P:9]([CH3:8])(=[O:10])[O:13][CH3:14]>>[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][C:6](=[O:7])[CH2:8][P:9](=[O:10])([O:11][CH3:12])[O:13][CH3:14],"C1CCOC1, CC(=O)O","Solvent, Reagent","C1CCOC1, CC(=O)O, [CH2]CCC.[Li]","Solvent, Solvent, Reagent",Option 2,True
[CH3:1][CH2:2][CH2:3][CH2:4][CH:5]([F:6])[C:7](=[O:8])OC.[CH3:13][O:12][P:10]([CH3:9])(=[O:11])[O:14][CH3:15]>>[CH3:1][CH2:2][CH2:3][CH2:4][CH:5]([F:6])[C:7](=[O:8])[CH2:9][P:10](=[O:11])([O:12][CH3:13])[O:14][CH3:15],"C1CCOC1, CC(=O)O, [CH2]CCC.[Li]","Solvent, Solvent, Reagent",C1CCOC1,Solvent,Option 1,False
